player,status,price_crore,innings,performance,expected_performance,value_residual
Player_101,uncapped,1.28,1,36.3,48.758032136018066,-12.46
Player_102,uncapped,1.31,5,58.4,48.796171477880925,9.6
Player_103,uncapped,0.68,7,46.7,47.71672629695041,-1.02
Player_104,capped_squad,5.81,10,59.7,51.24838550032621,8.45
Player_105,capped_squad,2.43,10,49.8,49.813345501412385,-0.01
Player_106,uncapped,0.4,8,60.5,46.843166471190344,13.66
Player_107,capped_squad,6.1,12,34.5,51.32857257460179,-16.83
Player_108,capped_squad,1.34,12,49.8,48.83344721283228,0.97
Player_109,uncapped,0.98,4,46.8,48.318373449014196,-1.52
Player_110,capped_squad,5.81,13,31.8,51.24838550032621,-19.45
Player_111,uncapped,0.36,8,26.5,46.66971412764134,-20.17
Player_112,capped_squad,6.57,9,60.3,51.450767409689334,8.85
Player_113,uncapped,0.67,8,44.7,47.692336597134805,-2.99
Player_114,capped_squad,5.63,10,34.7,51.196575379663976,-16.5
Player_115,capped_squad,5.19,9,48.6,51.062608555511446,-2.46
Player_116,capped_squad,6.03,14,66.9,51.30957166724547,15.59
Player_117,capped_squad,1.24,8,15.8,48.70576505956242,-32.91
Player_118,capped_squad,2.21,11,27.6,49.65711611067484,-22.06
Player_119,capped_squad,1.75,7,36.2,49.2729139256506,-13.07
Player_120,capped_squad,4.03,13,71.9,50.64615487328685,21.25
Player_121,uncapped,1.45,7,54.2,48.96332830849458,5.24
Player_122,capped_squad,5.47,9,61.5,51.149111922827544,10.35
Player_123,capped_squad,4.78,9,32.9,50.92713142963188,-18.03
Player_124,marquee,20.39,14,26.2,53.315224050441415,-27.12
Player_125,capped_squad,6.11,11,56.7,51.33126917573932,5.37
Player_126,capped_squad,1.93,10,50.9,49.434091150589346,1.47
Player_127,capped_squad,5.41,13,58.2,51.13095429802422,7.07
Player_128,uncapped,1.49,4,47.2,49.00812766134415,-1.81
Player_129,uncapped,1.2,3,54.2,48.65178400624568,5.55
Player_130,capped_squad,2.16,10,52.4,49.61944227839415,2.78
Player_131,capped_squad,2.62,10,61.7,49.9372820935784,11.76
Player_132,uncapped,0.6,8,62.1,47.5106733905482,14.59
Player_133,capped_squad,5.26,6,25.7,51.084664239246685,-25.38
Player_134,capped_squad,6.88,6,16.3,51.52666860410127,-35.23
Player_135,marquee,18.74,15,79.2,53.17630430568563,26.02
Player_136,capped_squad,4.67,9,67.8,50.88880372836697,16.91
Player_137,capped_squad,1.33,14,34.7,48.82111551003008,-14.12
Player_138,uncapped,1.09,2,22.1,48.49350480813594,-26.39
Player_139,capped_squad,4.7,14,51.5,50.899345544279605,0.6
Player_140,capped_squad,1.25,11,64.0,48.71898822002229,15.28
Player_141,capped_squad,6.3,11,77.0,51.38168281349655,25.62
Player_142,uncapped,1.12,4,57.7,48.53820279251613,9.16
Player_143,capped_squad,5.26,9,44.4,51.084664239246685,-6.68
Player_144,capped_squad,2.04,7,36.6,49.525343832005746,-12.93
Player_145,capped_squad,1.55,6,50.2,49.07312062612965,1.13
Player_146,capped_squad,2.1,9,45.5,49.57306527844122,-4.07
Player_147,capped_squad,6.88,8,34.8,51.52666860410127,-16.73
Player_148,capped_squad,3.75,7,80.7,50.52760575507762,30.17
Player_149,marquee,13.34,13,89.5,52.61674669505177,36.88
Player_150,capped_squad,5.7,8,67.0,51.21691795515459,15.78
Player_151,uncapped,0.7,1,36.2,47.76444774338589,-11.56
Player_152,capped_squad,4.82,6,62.8,50.940850464244576,11.86
Player_153,capped_squad,4.43,11,59.6,50.80194712259156,8.8
Player_154,uncapped,1.03,7,56.6,48.40029455957127,8.2
Player_155,capped_squad,1.87,14,68.7,49.382099209861984,19.32
Player_156,uncapped,0.21,6,59.5,45.78237786478155,13.72
Player_157,capped_squad,6.68,12,61.1,51.47810240884385,9.62
Player_158,uncapped,0.47,1,59.6,47.108658130619936,12.49
Player_159,capped_squad,2.81,10,55.1,50.052538052748794,5.05
Player_160,uncapped,0.88,2,23.2,48.14118381753468,-24.94
Player_161,capped_squad,4.47,9,51.3,50.81674519639948,0.48
Player_162,capped_squad,5.2,8,41.7,51.06577751630973,-9.37
Player_163,marquee,22.37,10,17.4,53.46779451201474,-36.07
Player_164,capped_squad,4.9,7,75.2,50.967950246976386,24.23
Player_165,capped_squad,6.64,11,75.9,51.46821484382814,24.43
Player_166,capped_squad,1.89,11,70.4,49.39961293489222,21.0
Player_167,uncapped,0.41,5,53.8,46.88381729275672,6.92
Player_168,capped_squad,4.05,6,70.3,50.65430476431924,19.65
Player_169,uncapped,0.42,5,50.2,46.92348848047903,3.28
Player_170,capped_squad,3.42,9,53.0,50.37595869224773,2.62
Player_171,uncapped,1.29,7,33.6,48.77084367636669,-15.17
Player_172,capped_squad,3.85,8,56.0,50.57093127199494,5.43
Player_173,capped_squad,1.72,7,50.9,49.24444737270631,1.66
Player_174,capped_squad,1.8,12,30.5,49.31929092560353,-18.82
Player_175,marquee,20.2,13,55.8,53.299811660019785,2.5
Player_176,capped_squad,2.67,10,48.8,49.96840352369386,-1.17
Player_177,capped_squad,2.83,11,77.0,50.06421380825915,26.94
Player_178,capped_squad,3.57,12,63.4,50.44662510420129,12.95
Player_179,capped_squad,4.67,14,50.2,50.88880372836697,-0.69
