Player,Role,Amount,Team,Year,Player Origin,year,first_initial,surname,name,runs,balls_faced,wickets,balls_bowled,runs_conceded,economy,initials,performance,expected_performance,value_residual,z
Karn Sharma,Bowler,50000000,Chennai Super Kings,2018.0,Indian,2018,K,sharma,KV Sharma,0.0,0.0,4.0,58.0,89.0,9.206896551724139,KV,-1.3334432875004139,0.5503398487224915,-1.8837831362229054,-1.5609389955586068
Kshitiz Sharma,All-Rounder,2000000,Chennai Super Kings,2018.0,Indian,2018,K,sharma,KV Sharma,0.0,0.0,4.0,58.0,89.0,9.206896551724139,KV,-1.3334432875004139,-0.5244961712301279,-0.8089471162702859,-0.6703091639639541
Mohit Sharma,Bowler,24000000,Kings XI Punjab,2018.0,Indian,2018,M,sharma,MM Sharma,10.0,14.0,7.0,186.0,322.0,10.387096774193548,MM,-1.2538505454718771,0.30525536897453076,-1.559105914446408,-1.2919051950667246
Sandeep Sharma,Bowler,30000000,Sunrisers Hyderabad,2018.0,Indian,2018,S,sharma,Sandeep Sharma,0.0,4.0,12.0,273.0,333.0,7.318681318681318,Sandeep,0.3299290440538858,0.3797667013843409,-0.04983765733045509,-0.04129644292833755
Abhishek Sharma,All-Rounder,65000000,Sunrisers Hyderabad,2022.0,Indian,2022,A,sharma,Abhishek Sharma,426.0,329.0,0.0,24.0,38.0,9.5,Abhishek,2.5347181196790616,0.6379476276928342,1.8967704919862274,1.5717005687303527
Ashok Sharma,Bowler,5500000,Kolkata Knight Riders,2022.0,Indian,2022,A,sharma,Abhishek Sharma,426.0,329.0,0.0,24.0,38.0,9.5,Abhishek,2.5347181196790616,-0.186705850370684,2.7214239700497456,2.255024326640915
Jitesh Sharma,Wicket Keeper,2000000,Punjab Kings,2022.0,Indian,2022,J,sharma,JM Sharma,234.0,149.0,0.0,0.0,0.0,,JM,1.0902116497097702,-0.5244961712301279,1.6147078209398982,1.3379780058930892
Sandeep Sharma,Bowler,5000000,Punjab Kings,2022.0,Indian,2022,S,sharma,Sandeep Sharma,0.0,0.0,2.0,126.0,153.0,7.285714285714286,Sandeep,-1.397897494750194,-0.21853150003706734,-1.1793659947131268,-0.9772453823292172
Abu Nechim Ahmed,Bowler,3000000,Royal Challengers Bangalore,2014.0,Indian,2014,A,ahmed,AN Ahmed,4.0,1.0,3.0,89.0,113.0,7.617977528089887,AN,-1.2304011350107689,-0.3891046473752171,-0.8412964876355518,-0.6971144762501107
Adam Milne,Bowler,32000000,Mumbai Indians,2021.0,Overseas,2021,A,milne,AF Milne,16.0,19.0,3.0,87.0,131.0,9.03448275862069,AF,-1.2971859510182226,0.4013171839028704,-1.698503134921093,-1.4074124172768665
Adam Zampa,Bowler,3000000,Rising Pune Supergiant,2016.0,Overseas,2016,A,zampa,A Zampa,0.0,1.0,12.0,103.0,115.0,6.699029126213592,A,0.6047648318412551,-0.3891046473752171,0.9938694792164722,0.8235393962147379
Aditya Tare,Wicket Keeper,16000000,Mumbai Indians,2014.0,Indian,2014,A,tare,AP Tare,126.0,102.0,0.0,0.0,0.0,,AP,0.2776767603520438,0.16986384511961994,0.10781291523242387,0.0893358584516133
Aiden Markram,Batsman,26000000,Sunrisers Hyderabad,2022.0,Overseas,2022,A,markram,AK Markram,381.0,277.0,1.0,36.0,64.0,10.666666666666666,AK,1.1693367060382296,0.3319829564997745,0.8373537495384551,0.6938474475106078
Ajinkya Rahane,Batsman,40000000,Rajasthan Royals,2018.0,Indian,2018,A,rahane,AM Rahane,370.0,321.0,0.0,0.0,0.0,,AM,2.113403732604685,0.4758285163126805,1.6375752162920043,1.3569263701955365
Ajinkya Rahane,Batsman,10000000,Kolkata Knight Riders,2022.0,Indian,2022,A,rahane,AM Rahane,133.0,131.0,0.0,0.0,0.0,,AM,0.3303410587363409,0.012921838746182246,0.31741921999015865,0.2630196803947856
Akash Deep,Bowler,2000000,Royal Challengers Bangalore,2022.0,Indian,2022,A,deep,Akash Deep,0.0,2.0,5.0,119.0,205.0,10.336134453781513,Akash,-1.4388962826119684,-0.5244961712301279,-0.9144001113818405,-0.757689547142307
Akash Singh,Bowler,2000000,Rajasthan Royals,2020.0,Indian,2020,A,singh,Arshdeep Singh,0.0,3.0,9.0,158.0,218.0,8.278481012658228,Arshdeep,-0.5084266690217326,-0.5244961712301279,0.016069502208395314,0.013315499090088464
Harbhajan Singh,Bowler,20000000,Kolkata Knight Riders,2021.0,Indian,2021,H,singh,Harbhajan Singh,4.0,4.0,0.0,45.0,63.0,8.4,Harbhajan,-0.6401867257742768,0.24437517752943094,-0.8845619033037078,-0.7329650331304999
Akshar Rajesh Patel,All-Rounder,7500000,Kings XI Punjab,2014.0,Indian,2014,A,patel,AR Patel,62.0,61.0,17.0,403.0,405.0,6.029776674937965,AR,2.4713831236998764,-0.0831399761821574,2.554523099882034,2.1167270504694082
Harshal Patel,Bowler,4000000,Royal Challengers Bangalore,2014.0,Indian,2014,H,patel,HV Patel,13.0,7.0,4.0,71.0,113.0,9.549295774647886,HV,-1.286259871610115,-0.29304283244687834,-0.9932170391632367,-0.8229987718181297
Parthiv Patel,Wicket Keeper,14000000,Royal Challengers Bangalore,2014.0,Indian,2014,P,patel,PA Patel,205.0,191.0,0.0,0.0,0.0,,PA,0.8720309849748251,0.12527549862969334,0.7467554863451318,0.6187759813587806
Akshdeep Nath,All-Rounder,36000000,Royal Challengers Bangalore,2019.0,Indian,2019,A,nath,AD Nath,61.0,58.0,0.0,0.0,0.0,,AD,-0.2113488675021434,0.4406468928294407,-0.6519957603315841,-0.540256246948389
Morne Morkel,Bowler,28000000,Kolkata Knight Riders,2014.0,Overseas,2014,M,morkel,M Morkel,4.0,4.0,12.0,305.0,367.0,7.219672131147541,M,0.40393670561324124,0.3567288374129438,0.04720786820029743,0.03911734899527024
Alzarri Joseph,Bowler,24000000,Gujarat Titans,2022.0,Overseas,2022,A,joseph,AS Joseph,5.0,7.0,7.0,185.0,264.0,8.562162162162162,AS,-0.8193076806432603,0.30525536897453076,-1.124563049617791,-0.9318346063084234
Aman Khan,All-Rounder,2000000,Kolkata Knight Riders,2022.0,Indian,2022,A,khan,Avesh Khan,22.0,13.0,18.0,300.0,416.0,8.32,Avesh,0.867427699379223,-0.5244961712301279,1.391923870609351,1.1533749329763172
Avesh Khan,Bowler,100000000,Lucknow Super Giants,2022.0,Indian,2022,A,khan,Avesh Khan,22.0,13.0,18.0,300.0,416.0,8.32,Avesh,0.867427699379223,0.7817931875057411,0.08563451187348192,0.07095840618732886
Mohd. Arshad Khan,All-Rounder,2000000,Mumbai Indians,2022.0,Indian,2022,M,khan,Mohsin Khan,23.0,19.0,14.0,206.0,197.0,5.737864077669903,Mohsin,1.6670224218356555,-0.5244961712301279,2.1915185930657834,1.8159345232631572
Mohsin Khan,Bowler,2000000,Lucknow Super Giants,2022.0,Indian,2022,M,khan,Mohsin Khan,23.0,19.0,14.0,206.0,197.0,5.737864077669903,Mohsin,1.6670224218356555,-0.5244961712301279,2.1915185930657834,1.8159345232631572
Sarfaraz Khan,All-Rounder,2000000,Delhi Capitals,2022.0,Indian,2022,S,khan,SN Khan,91.0,69.0,0.0,0.0,0.0,,SN,0.014355268430558387,-0.5244961712301279,0.5388514396606863,0.4465026832471516
Shahrukh Khan,All-Rounder,90000000,Punjab Kings,2022.0,Indian,2022,S,khan,SN Khan,91.0,69.0,0.0,0.0,0.0,,SN,0.014355268430558387,0.7466115640225013,-0.7322562955919429,-0.606761672590694
Ambati Rayudu,Wicket Keeper,22000000,Chennai Super Kings,2018.0,Indian,2018,A,rayudu,AT Rayudu,602.0,410.0,0.0,0.0,0.0,,AT,3.8588490504842454,0.2762008271958152,3.5826482232884302,2.9686513333549365
Ambati Rayudu,Wicket Keeper,67500000,Chennai Super Kings,2022.0,Indian,2022,A,rayudu,AT Rayudu,274.0,230.0,0.0,0.0,0.0,,AT,1.3911504976200393,0.6505497490941625,0.7406007485258768,0.6136760470379027
Amit Mishra,Bowler,1000000,Rajasthan Royals,2014.0,Indian,2014,A,mishra,A Mishra,4.0,7.0,7.0,230.0,340.0,8.869565217391305,A,-0.90636468333307,-0.7559495100133775,-0.15041517331969245,-0.12463691018552128
Amit Mishra,Bowler,35000000,Delhi Daredevils,2015.0,Indian,2015,A,mishra,A Mishra,8.0,13.0,9.0,249.0,310.0,7.469879518072289,A,-0.179258213816415,0.4312401698227539,-0.6104983836391689,-0.5058707212225068
Amit Mishra,Bowler,1000000,Gujarat Lions,2016.0,Indian,2016,A,mishra,A Mishra,4.0,14.0,13.0,284.0,344.0,7.267605633802816,A,0.5575908097594384,-0.7559495100133775,1.313540319772816,1.0884248127855074
Amit Mishra,Bowler,40000000,Delhi Daredevils,2018.0,Indian,2018,A,mishra,A Mishra,1.0,2.0,12.0,226.0,264.0,7.008849557522124,A,0.47487292172292317,0.4758285163126805,-0.0009555945897573581,-0.0007918240854874601
Andre Russell,All-Rounder,6000000,Kolkata Knight Riders,2014.0,Overseas,2014,A,russell,AD Russell,2.0,8.0,1.0,31.0,52.0,10.064516129032258,AD,-1.6598027747581918,-0.15765130859196752,-1.5021514661662243,-1.2447116420607673
Andrew Tye,Bowler,72000000,Kings XI Punjab,2018.0,Overseas,2018,A,tye,AJ Tye,32.0,40.0,24.0,353.0,448.0,7.614730878186968,AJ,2.384381249407168,0.6721002316126912,1.712281017794477,1.418829036440592
Angelo Mathews,All-Rounder,75000000,Delhi Daredevils,2015.0,Overseas,2015,A,mathews,AD Mathews,144.0,109.0,7.0,185.0,246.0,7.978378378378379,AD,0.3774955591371716,0.6857313725774015,-0.3082358134402299,-0.25541013281990105
Angelo Mathews,All-Rounder,20000000,Delhi Daredevils,2017.0,Overseas,2017,A,mathews,AD Mathews,32.0,28.0,0.0,31.0,56.0,10.838709677419354,AD,-0.42952953223708845,0.24437517752943094,-0.6739047097665194,-0.558410424500526
Aniket Choudhary,Bowler,20000000,Royal Challengers Bangalore,2017.0,Indian,2017,A,choudhary,A Choudhary,25.0,20.0,5.0,108.0,144.0,8.0,A,-0.8190798426084562,0.24437517752943094,-1.0634550201378872,-0.8811993159064819
Ankit Nagendra Sharma,Bowler,1000000,Rajasthan Royals,2014.0,Indian,2014,A,sharma,Ankit Sharma,34.0,31.0,4.0,48.0,43.0,5.375,Ankit,-0.5111219168962025,-0.7559495100133775,0.24482759311717506,0.20286885997483245
Ishant Sharma,Bowler,26000000,Sunrisers Hyderabad,2014.0,Indian,2014,I,sharma,I Sharma,0.0,0.0,3.0,68.0,101.0,8.911764705882353,I,-1.4039541338661379,0.3319829564997745,-1.7359370903659124,-1.4384309138799212
Karn Sharma,Bowler,37500000,Sunrisers Hyderabad,2014.0,Indian,2014,K,sharma,KV Sharma,42.0,30.0,15.0,307.0,376.0,7.348534201954398,KV,1.1484429942468837,0.45427803379415277,0.6941649604527309,0.5751984585092135
Mohit Sharma,Bowler,20000000,Chennai Super Kings,2014.0,Indian,2014,M,sharma,MM Sharma,1.0,3.0,23.0,324.0,452.0,8.37037037037037,MM,1.3466976918032603,0.24437517752943094,1.1023225142738293,0.9134056702844522
Rahul Sharma,Bowler,19000000,Delhi Daredevils,2014.0,Indian,2014,R,sharma,RG Sharma,390.0,307.0,1.0,18.0,26.0,8.666666666666666,RG,1.31097000372033,0.22724749588236737,1.0837225078379626,0.8979933466442697
Sandeep Sharma,Bowler,8500000,Kings XI Punjab,2014.0,Indian,2014,S,sharma,Sandeep Sharma,2.0,5.0,18.0,255.0,354.0,8.329411764705883,Sandeep,0.7106966423688356,-0.04134592703676887,0.7520425694056044,0.623156960232175
Shivam Sharma,Bowler,1000000,Kings XI Punjab,2014.0,Indian,2014,S,sharma,Sandeep Sharma,2.0,5.0,18.0,255.0,354.0,8.329411764705883,Sandeep,0.7106966423688356,-0.7559495100133775,1.466646152382213,1.2152912550908903
Ankit Sharma,All-Rounder,1000000,Rising Pune Supergiant,2016.0,Indian,2016,A,sharma,Ankit Sharma,3.0,3.0,1.0,70.0,84.0,7.2,Ankit,-1.5464038414165096,-0.7559495100133775,-0.790454331403132,-0.6549856861811055
Ishant Sharma,Bowler,38000000,Rising Pune Supergiant,2016.0,Indian,2016,I,sharma,I Sharma,0.0,0.0,3.0,97.0,148.0,9.154639175257731,I,-1.4308848043840583,0.45870083466561606,-1.8895856390496744,-1.5657470611793147
Manan Ajay Sharma,All-Rounder,1000000,Kolkata Knight Riders,2016.0,Indian,2016,M,sharma,MM Sharma,32.0,27.0,13.0,304.0,407.0,8.032894736842106,MM,0.40053166325640177,-0.7559495100133775,1.1564811732697793,0.9582825784318749
Mohit Sharma,Bowler,65000000,Kings XI Punjab,2016.0,Indian,2016,M,sharma,MM Sharma,32.0,27.0,13.0,304.0,407.0,8.032894736842106,MM,0.40053166325640177,0.6379476276928342,-0.23741596443643243,-0.196727441673589
Ankit Singh Rajpoot,Bowler,15000000,Kolkata Knight Riders,2016.0,Indian,2016,A,rajpoot,AS Rajpoot,0.0,0.0,3.0,72.0,98.0,8.166666666666666,AS,-1.3213353643871075,0.14831336260109218,-1.4696487269881997,-1.2177792462505068
Ankit Singh Rajpoot,Bowler,30000000,Kings XI Punjab,2018.0,Indian,2018,A,rajpoot,AS Rajpoot,11.0,18.0,11.0,166.0,223.0,8.06024096385542,AS,-0.06183600431839864,0.3797667013843409,-0.4416027057027395,-0.36592050890619665
Anmolpreet Singh,Batsman,8000000,Mumbai Indians,2019.0,Indian,2019,A,singh,Arshdeep Singh,0.0,0.0,3.0,65.0,109.0,10.061538461538461,Arshdeep,-1.531444595351694,-0.06158949366362876,-1.4698551016880652,-1.2179502523023833
Arshdeep Singh,Bowler,2000000,Kings XI Punjab,2019.0,Indian,2019,A,singh,Arshdeep Singh,0.0,0.0,3.0,65.0,109.0,10.061538461538461,Arshdeep,-1.531444595351694,-0.5244961712301279,-1.006948424121566,-0.8343768619137123
Himmat Singh,Batsman,6500000,Royal Challengers Bangalore,2019.0,Indian,2019,H,singh,Harbhajan Singh,1.0,3.0,16.0,269.0,312.0,6.959107806691449,Harbhajan,1.2422012360390018,-0.13092372106672467,1.3731249571057265,1.1377977911080779
Yuvraj Singh,All-Rounder,10000000,Mumbai Indians,2019.0,Indian,2019,Y,singh,Yuvraj Singh,98.0,83.0,0.0,0.0,0.0,,Yuvraj,0.06701956681485546,0.012921838746182246,0.05409772806867322,0.04482641960731837
Ramandeep Singh,All-Rounder,2000000,Mumbai Indians,2022.0,Indian,2022,R,singh,RK Singh,174.0,125.0,0.0,0.0,0.0,,RK,0.6388033778443667,-0.5244961712301279,1.1632995490744946,0.9639324159717169
Rinku Singh,Batsman,5500000,Kolkata Knight Riders,2022.0,Indian,2022,R,singh,RK Singh,174.0,125.0,0.0,0.0,0.0,,RK,0.6388033778443667,-0.186705850370684,0.8255092282150507,0.6840328489711506
Shashank Singh,All-Rounder,2000000,Sunrisers Hyderabad,2022.0,Indian,2022,S,singh,Shashank Singh,69.0,47.0,0.0,13.0,20.0,9.230769230769232,Shashank,-0.15116109792008958,-0.5244961712301279,0.37333507331003835,0.3093526336093151
Simarjeet Singh,Bowler,2000000,Chennai Super Kings,2022.0,Indian,2022,S,singh,Shashank Singh,69.0,47.0,0.0,13.0,20.0,9.230769230769232,Shashank,-0.15116109792008958,-0.5244961712301279,0.37333507331003835,0.3093526336093151
Ansh Patel,All-Rounder,2000000,Punjab Kings,2022.0,Indian,2022,A,patel,AR Patel,182.0,122.0,6.0,261.0,321.0,7.379310344827586,AR,0.6475972172688844,-0.5244961712301279,1.1720933884990123,0.971219160721929
Harshal Patel,All-Rounder,107500000,Royal Challengers Bangalore,2022.0,Indian,2022,H,patel,HV Patel,43.0,42.0,19.0,338.0,410.0,7.278106508875739,HV,1.893116823633956,0.805942255777353,1.087174567856603,0.9008537900756237
Anuj Rawat,Wicket Keeper,34000000,Royal Challengers Bangalore,2022.0,Indian,2022,A,rawat,Anuj Rawat,129.0,123.0,0.0,0.0,0.0,,Anuj,0.30024717394531397,0.4215607505297303,-0.12131357658441633,-0.10052276652236324
Jason Roy,Batsman,15000000,Delhi Daredevils,2018.0,Overseas,2018,J,roy,JJ Roy,120.0,98.0,0.0,0.0,0.0,,JJ,0.23253593316550344,0.14831336260109218,0.08422257056441126,0.06978844441923092
Anukul Roy,All-Rounder,2000000,Kolkata Knight Riders,2022.0,Indian,2022,A,roy,AS Roy,0.0,2.0,1.0,42.0,55.0,7.857142857142857,AS,-1.5932629308491038,-0.5244961712301279,-1.0687667596189758,-0.8856007255649759
Karanveer Singh,All-Rounder,1000000,Kings XI Punjab,2014.0,Indian,2014,K,singh,Karanveer Singh,1.0,1.0,11.0,126.0,164.0,7.809523809523809,Karanveer,-0.03513631367711689,-0.7559495100133775,0.7208131963362606,0.59727970010948
Yuvraj Singh,All-Rounder,140000000,Royal Challengers Bangalore,2014.0,Indian,2014,Y,singh,Yuvraj Singh,376.0,288.0,5.0,140.0,187.0,8.014285714285714,Yuvraj,1.8190184743433584,0.8941468473892522,0.9248716269541062,0.7663664466670175
Harbhajan Singh,Bowler,20000000,Chennai Super Kings,2018.0,Indian,2018,H,singh,Harbhajan Singh,29.0,38.0,7.0,193.0,270.0,8.39378238341969,Harbhajan,-0.5951799433482128,0.24437517752943094,-0.8395551208776437,-0.6956715462091092
Mandeep Singh,All-Rounder,14000000,Royal Challengers Bangalore,2018.0,Indian,2018,M,singh,Mandeep Singh,252.0,193.0,0.0,0.0,0.0,,Mandeep,1.2256341312693912,0.12527549862969334,1.100358632639698,0.9117783601305224
Monu Singh,Bowler,2000000,Chennai Super Kings,2018.0,Indian,2018,M,singh,Mandeep Singh,252.0,193.0,0.0,0.0,0.0,,Mandeep,1.2256341312693912,-0.5244961712301279,1.7501303024995192,1.450191682869501
Rinku Singh,Batsman,8000000,Kolkata Knight Riders,2018.0,Indian,2018,R,singh,RK Singh,29.0,34.0,0.0,0.0,0.0,,RK,-0.4520999458303586,-0.06158949366362876,-0.39051045216672986,-0.32358448339360407
Yuvraj Singh,All-Rounder,20000000,Kings XI Punjab,2018.0,Indian,2018,Y,singh,Yuvraj Singh,65.0,74.0,0.0,13.0,23.0,10.615384615384617,Yuvraj,-0.18125498271111648,0.24437517752943094,-0.42563016024054745,-0.35268535004377116
Ashish Nehra,Bowler,20000000,Chennai Super Kings,2014.0,Indian,2014,A,nehra,A Nehra,0.0,0.0,8.0,93.0,142.0,9.161290322580646,A,-0.9070141583621749,0.24437517752943094,-1.1513893358916059,-0.9540633838920132
Ashish Nehra,Bowler,55000000,Sunrisers Hyderabad,2016.0,Indian,2016,A,nehra,A Nehra,1.0,1.0,9.0,161.0,199.0,7.416149068322982,A,-0.21404911806381938,0.5821654983888758,-0.7962146164526951,-0.6597587693383444
Ashok Dinda,Bowler,15000000,Royal Challengers Bangalore,2014.0,Indian,2014,A,dinda,AB Dinda,4.0,13.0,5.0,195.0,270.0,8.307692307692308,AB,-1.033935858455417,0.14831336260109218,-1.1822492210565092,-0.9796344792193356
Ashok Dinda,Bowler,5000000,Rising Pune Supergiant,2016.0,Indian,2016,A,dinda,AB Dinda,0.0,0.0,11.0,192.0,231.0,7.21875,AB,0.19753189852713637,-0.21853150003706734,0.4160633985642037,0.34475814702625135
Avesh Khan,Bowler,7000000,Delhi Daredevils,2018.0,Indian,2018,A,khan,Avesh Khan,0.0,0.0,4.0,117.0,204.0,10.461538461538462,Avesh,-1.5189347087989988,-0.10617784015355625,-1.4127568686454426,-1.1706375564724232
Axar Rajesh Patel,All-Rounder,50000000,Delhi Capitals,2019.0,Indian,2019,A,patel,AR Patel,110.0,90.0,10.0,307.0,364.0,7.114006514657981,AR,0.8871080824163234,0.5503398487224915,0.3367682336938319,0.2790526458858238
Ayush Badoni,All-Rounder,2000000,Lucknow Super Giants,2022.0,Indian,2022,A,badoni,A Badoni,161.0,139.0,2.0,12.0,11.0,5.5,A,-0.054614958871557095,-0.5244961712301279,0.46988121235857083,0.3893526242736574
Baba Indrajith,Wicket Keeper,2000000,Kolkata Knight Riders,2022.0,Indian,2022,B,indrajith,B Indrajith,21.0,31.0,0.0,0.0,0.0,,B,-0.5122877154124125,-0.5244961712301279,0.012208455817715458,0.010116161672217105
Barinder Singh Sran,Bowler,12000000,Sunrisers Hyderabad,2016.0,Indian,2016,B,sran,BB Sran,4.0,4.0,14.0,312.0,413.0,7.9423076923076925,BB,0.3833774248442625,0.07380203019128206,0.30957539465298045,0.25652013561825604
Barinder Singh Sran,Bowler,22000000,Kings XI Punjab,2018.0,Indian,2018,B,sran,BB Sran,3.0,7.0,4.0,146.0,229.0,9.41095890410959,BB,-1.3410422915564486,0.2762008271958152,-1.6172431187522638,-1.3400788024999692
Basil Thampi,Bowler,8500000,Gujarat Lions,2017.0,Indian,2017,B,thampi,Basil Thampi,28.0,30.0,11.0,278.0,424.0,9.151079136690647,Basil,-0.37744050211587177,-0.04134592703676887,-0.3360945750791029,-0.27849443938041135
Basil Thampi,Bowler,9500000,Sunrisers Hyderabad,2018.0,Indian,2018,B,thampi,Basil Thampi,3.0,6.0,5.0,62.0,114.0,11.032258064516128,Basil,-1.5449730919280782,-0.004205842900882217,-1.540767249027196,-1.2767094236273722
Basil Thampi,Bowler,3000000,Mumbai Indians,2022.0,Indian,2022,B,thampi,Basil Thampi,0.0,0.0,5.0,102.0,152.0,8.941176470588236,Basil,-1.181100874087175,-0.3891046473752171,-0.7919962267119578,-0.6562633303368127
Ben Cutting,All-Rounder,5000000,Sunrisers Hyderabad,2016.0,Overseas,2016,B,cutting,BCJ Cutting,65.0,37.0,5.0,68.0,80.0,7.0588235294117645,BCJ,-0.3442067431633866,-0.21853150003706734,-0.12567524312631928,-0.1041369274414012
Ben Cutting,All-Rounder,22000000,Mumbai Indians,2018.0,Overseas,2018,B,cutting,BCJ Cutting,96.0,59.0,2.0,105.0,168.0,9.6,BCJ,-0.8467210200251342,0.2762008271958152,-1.1229218472209492,-0.930474674386551
Ben Dunk,Wicket Keeper,2000000,Mumbai Indians,2014.0,Overseas,2014,B,dunk,BR Dunk,40.0,36.0,0.0,0.0,0.0,,BR,-0.36934176265503466,-0.5244961712301279,0.15515440857509327,0.12856393181398507
Ben Hilfenhaus,Bowler,10000000,Chennai Super Kings,2014.0,Overseas,2014,B,hilfenhaus,BW Hilfenhaus,0.0,0.0,8.0,175.0,246.0,8.434285714285714,BW,-0.6920474542717543,0.012921838746182246,-0.7049692930179365,-0.5841511366056035
Ben Laughlin,Bowler,1500000,Chennai Super Kings,2013.0,Overseas,2013,B,laughlin,B Laughlin,4.0,9.0,1.0,45.0,71.0,9.466666666666667,B,-1.6226587013746818,-0.6205579861584667,-1.0021007152162151,-0.8303599569292823
Ben Laughlin,Bowler,5000000,Rajasthan Royals,2018.0,Overseas,2018,B,laughlin,B Laughlin,1.0,4.0,9.0,134.0,211.0,9.447761194029852,B,-0.8898633802833064,-0.21853150003706734,-0.671331880246239,-0.5562785283974627
Benjamin Stokes,All-Rounder,145000000,Rising Pune Supergiant,2017.0,Overseas,2017,B,stokes,BA Stokes,316.0,227.0,12.0,274.0,316.0,6.91970802919708,BA,2.884303499791498,0.9058644210307811,1.978439078760717,1.639372732981736
Benjamin Stokes,All-Rounder,125000000,Rajasthan Royals,2018.0,Overseas,2018,B,stokes,BA Stokes,196.0,166.0,8.0,232.0,303.0,7.836206896551724,BA,0.9593977660749098,0.8563045199155512,0.10309324615935855,0.08542504973875314
Beuran Hendricks,Bowler,18000000,Kings XI Punjab,2014.0,Overseas,2014,B,hendricks,BE Hendricks,0.0,1.0,4.0,75.0,126.0,10.08,BE,-1.4625264930704818,0.209193554046192,-1.6717200471166738,-1.385219434777186
Bhuvneshwar Kumar,Bowler,42500000,Sunrisers Hyderabad,2014.0,Overseas,2014,B,kumar,B Kumar,1.0,4.0,20.0,327.0,354.0,6.495412844036697,B,2.3302403292898313,0.4960720829395404,1.8341682463502909,1.5198271420371916
Bhuvneshwar Kumar,Bowler,42000000,Sunrisers Hyderabad,2022.0,Indian,2022,B,kumar,B Kumar,24.0,28.0,12.0,330.0,383.0,6.963636363636364,B,0.6679662730182727,0.49212036126785375,0.17584591175041897,0.14570930994272782
Billy Stanlake,Bowler,3000000,Royal Challengers Bangalore,2017.0,Overseas,2017,B,stanlake,B Stanlake,0.0,0.0,2.0,50.0,70.0,8.399999999999999,B,-1.4802677867270315,-0.3891046473752171,-1.0911631393518144,-0.9041587972517316
Billy Stanlake,Batsman,5000000,Sunrisers Hyderabad,2018.0,Overseas,2018,B,stanlake,B Stanlake,5.0,2.0,5.0,100.0,130.0,7.8,B,-0.9325882381124456,-0.21853150003706734,-0.7140567380753783,-0.5916811686392265
Brad Hodge,Batsman,24000000,Rajasthan Royals,2014.0,Overseas,2014,B,hodge,BJ Hodge,101.0,74.0,0.0,0.0,0.0,,BJ,0.08958998040812564,0.30525536897453076,-0.2156653885664051,-0.17870449550821663
Brendon McCullum,Wicket Keeper,32500000,Chennai Super Kings,2014.0,Overseas,2014,B,mccullum,BB McCullum,405.0,341.0,0.0,0.0,0.0,,BB,2.37672522452617,0.4064942889095846,1.9702309356165855,1.6325713074522075
